timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/09/21 15:03:55.537, 0, NVIDIA L40, 0, 0, 14, 46068, 26.31
2026/09/21 15:03:56.544, 0, NVIDIA L40, 0, 0, 14, 46068, 26.48
2026/09/21 15:03:57.544, 0, NVIDIA L40, 0, 0, 14, 46068, 26.40
2026/09/21 15:03:58.544, 0, NVIDIA L40, 0, 0, 14, 46068, 26.04
2026/09/21 15:03:59.544, 0, NVIDIA L40, 0, 0, 14, 46068, 25.92
2026/09/21 15:04:00.544, 0, NVIDIA L40, 0, 0, 14, 46068, 26.09
2026/09/21 15:04:01.545, 0, NVIDIA L40, 0, 0, 14, 46068, 25.72
2026/09/21 15:04:02.545, 0, NVIDIA L40, 0, 0, 14, 46068, 26.84
2026/09/21 15:04:03.545, 0, NVIDIA L40, 0, 0, 14, 46068, 27.49
2026/09/21 15:04:04.545, 0, NVIDIA L40, 0, 3, 14, 46068, 25.32
2026/09/21 15:04:05.546, 0, NVIDIA L40, 0, 0, 14, 46068, 25.18
2026/09/21 15:04:06.546, 0, NVIDIA L40, 0, 0, 14, 46068, 25.18
2026/09/21 15:04:07.546, 0, NVIDIA L40, 0, 0, 14, 46068, 25.42
2026/09/21 15:04:08.546, 0, NVIDIA L40, 0, 0, 14, 46068, 25.55
2026/09/21 15:04:09.547, 0, NVIDIA L40, 0, 0, 14, 46068, 26.48
2026/09/21 15:04:10.547, 0, NVIDIA L40, 0, 0, 14, 46068, 27.30
2026/09/21 15:04:11.547, 0, NVIDIA L40, 0, 0, 14, 46068, 25.80
2026/09/21 15:04:12.547, 0, NVIDIA L40, 0, 0, 14, 46068, 25.79
2026/09/21 15:04:13.548, 0, NVIDIA L40, 0, 0, 14, 46068, 25.92
2026/09/21 15:04:14.548, 0, NVIDIA L40, 0, 0, 14, 46068, 26.16
2026/09/21 15:04:15.548, 0, NVIDIA L40, 0, 0, 14, 46068, 26.04
2026/09/21 15:04:16.548, 0, NVIDIA L40, 0, 0, 14, 46068, 25.64
2026/09/21 15:04:17.548, 0, NVIDIA L40, 0, 0, 14, 46068, 26.51
2026/09/21 15:04:18.549, 0, NVIDIA L40, 0, 0, 14, 46068, 25.84
2026/09/21 15:04:19.549, 0, NVIDIA L40, 0, 0, 14, 46068, 25.59
2026/09/21 15:04:20.549, 0, NVIDIA L40, 0, 2, 14, 46068, 25.66
2026/09/21 15:04:21.549, 0, NVIDIA L40, 0, 0, 14, 46068, 26.39
2026/09/21 15:04:22.550, 0, NVIDIA L40, 0, 0, 14, 46068, 26.39
2026/09/21 15:04:23.550, 0, NVIDIA L40, 0, 0, 14, 46068, 26.95
2026/09/21 15:04:24.550, 0, NVIDIA L40, 0, 0, 14, 46068, 28.01
2026/09/21 15:04:25.550, 0, NVIDIA L40, 0, 0, 14, 46068, 27.05
2026/09/21 15:04:26.550, 0, NVIDIA L40, 0, 0, 17, 46068, 34.62
2026/09/21 15:04:27.550, 0, NVIDIA L40, 0, 0, 59, 46068, 35.25
2026/09/21 15:04:28.551, 0, NVIDIA L40, 8, 0, 1088, 46068, 74.68
2026/09/21 15:04:29.551, 0, NVIDIA L40, 23, 0, 1112, 46068, 86.63
2026/09/21 15:04:30.551, 0, NVIDIA L40, 23, 0, 1112, 46068, 89.87
2026/09/21 15:04:31.552, 0, NVIDIA L40, 26, 0, 1112, 46068, 89.94
2026/09/21 15:04:32.552, 0, NVIDIA L40, 8, 0, 1112, 46068, 89.40
2026/09/21 15:04:33.552, 0, NVIDIA L40, 28, 0, 1112, 46068, 89.47
2026/09/21 15:04:34.552, 0, NVIDIA L40, 20, 0, 1112, 46068, 90.83
2026/09/21 15:04:35.552, 0, NVIDIA L40, 15, 0, 1112, 46068, 90.15
2026/09/21 15:04:36.552, 0, NVIDIA L40, 29, 0, 1112, 46068, 88.36
2026/09/21 15:04:37.553, 0, NVIDIA L40, 16, 0, 1112, 46068, 89.68
2026/09/21 15:04:38.553, 0, NVIDIA L40, 23, 0, 1112, 46068, 90.36
2026/09/21 15:04:39.553, 0, NVIDIA L40, 27, 0, 1112, 46068, 90.99
2026/09/21 15:04:40.553, 0, NVIDIA L40, 22, 0, 1112, 46068, 88.66
2026/09/21 15:04:41.553, 0, NVIDIA L40, 25, 0, 1112, 46068, 91.09
2026/09/21 15:04:42.553, 0, NVIDIA L40, 32, 0, 1112, 46068, 90.81
2026/09/21 15:04:43.554, 0, NVIDIA L40, 25, 0, 1112, 46068, 91.44
2026/09/21 15:04:44.554, 0, NVIDIA L40, 0, 0, 1112, 46068, 80.78
2026/09/21 15:04:45.554, 0, NVIDIA L40, 0, 0, 1112, 46068, 78.05
2026/09/21 15:04:46.554, 0, NVIDIA L40, 3, 0, 1112, 46068, 78.73
2026/09/21 15:04:47.554, 0, NVIDIA L40, 16, 0, 1112, 46068, 83.35
2026/09/21 15:04:48.555, 0, NVIDIA L40, 25, 0, 1112, 46068, 90.36
2026/09/21 15:04:49.555, 0, NVIDIA L40, 22, 0, 1112, 46068, 90.44
2026/09/21 15:04:50.555, 0, NVIDIA L40, 25, 0, 1112, 46068, 90.73
2026/09/21 15:04:51.555, 0, NVIDIA L40, 26, 0, 1112, 46068, 88.68
2026/09/21 15:04:52.555, 0, NVIDIA L40, 21, 0, 1112, 46068, 90.58
2026/09/21 15:04:53.555, 0, NVIDIA L40, 24, 0, 1112, 46068, 90.98
2026/09/21 15:04:54.556, 0, NVIDIA L40, 21, 0, 1112, 46068, 91.36
2026/09/21 15:04:55.556, 0, NVIDIA L40, 25, 0, 1112, 46068, 89.29
2026/09/21 15:04:56.556, 0, NVIDIA L40, 28, 0, 1112, 46068, 91.88
2026/09/21 15:04:57.556, 0, NVIDIA L40, 35, 0, 1112, 46068, 91.82
2026/09/21 15:04:58.556, 0, NVIDIA L40, 20, 0, 1112, 46068, 90.98
2026/09/21 15:04:59.557, 0, NVIDIA L40, 18, 0, 1112, 46068, 90.99
2026/09/21 15:05:00.557, 0, NVIDIA L40, 16, 0, 1112, 46068, 91.11
2026/09/21 15:05:01.557, 0, NVIDIA L40, 28, 0, 1112, 46068, 91.56
2026/09/21 15:05:02.557, 0, NVIDIA L40, 0, 0, 1112, 46068, 86.01
2026/09/21 15:05:03.557, 0, NVIDIA L40, 0, 0, 1112, 46068, 79.26
2026/09/21 15:05:04.558, 0, NVIDIA L40, 0, 0, 1112, 46068, 77.69
2026/09/21 15:05:05.558, 0, NVIDIA L40, 3, 0, 1112, 46068, 81.28
