timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/09/22 16:09:53.195, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 26.03 W
2026/09/22 16:09:54.206, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 25.75 W
2026/09/22 16:09:55.207, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 26.87 W
2026/09/22 16:09:56.207, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 27.83 W
2026/09/22 16:09:57.207, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 26.54 W
2026/09/22 16:09:58.207, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 26.11 W
2026/09/22 16:09:59.208, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 25.87 W
2026/09/22 16:10:00.208, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 25.99 W
2026/09/22 16:10:01.208, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 26.11 W
2026/09/22 16:10:02.208, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 26.16 W
2026/09/22 16:10:03.209, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 27.98 W
2026/09/22 16:10:04.209, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 27.88 W
2026/09/22 16:10:05.209, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 25.93 W
2026/09/22 16:10:06.209, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 25.73 W
2026/09/22 16:10:07.210, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 25.85 W
2026/09/22 16:10:08.210, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 26.28 W
2026/09/22 16:10:09.210, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 26.24 W
2026/09/22 16:10:10.211, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 26.77 W
2026/09/22 16:10:11.211, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 27.78 W
2026/09/22 16:10:12.211, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 26.42 W
2026/09/22 16:10:13.211, 0, NVIDIA L40G, 0 %, 17 MiB, 23028 MiB, 34.97 W
2026/09/22 16:10:14.212, 0, NVIDIA L40G, 0 %, 17 MiB, 23028 MiB, 41.38 W
2026/09/22 16:10:15.212, 0, NVIDIA L40G, 0 %, 17 MiB, 23028 MiB, 34.49 W
2026/09/22 16:10:16.212, 0, NVIDIA L40G, 0 %, 17 MiB, 23028 MiB, 34.50 W
2026/09/22 16:10:17.212, 0, NVIDIA L40G, 0 %, 17 MiB, 23028 MiB, 34.70 W
2026/09/22 16:10:18.213, 0, NVIDIA L40G, 8 %, 1070 MiB, 23028 MiB, 55.75 W
2026/09/22 16:10:19.213, 0, NVIDIA L40G, 9 %, 1108 MiB, 23028 MiB, 86.30 W
2026/09/22 16:10:20.213, 0, NVIDIA L40G, 16 %, 1112 MiB, 23028 MiB, 94.25 W
2026/09/22 16:10:21.213, 0, NVIDIA L40G, 25 %, 1112 MiB, 23028 MiB, 95.21 W
2026/09/22 16:10:22.213, 0, NVIDIA L40G, 26 %, 1112 MiB, 23028 MiB, 95.05 W
2026/09/22 16:10:23.214, 0, NVIDIA L40G, 0 %, 1112 MiB, 23028 MiB, 89.94 W
2026/09/22 16:10:24.214, 0, NVIDIA L40G, 0 %, 1112 MiB, 23028 MiB, 83.08 W
2026/09/22 16:10:25.214, 0, NVIDIA L40G, 0 %, 1112 MiB, 23028 MiB, 83.12 W
2026/09/22 16:10:26.214, 0, NVIDIA L40G, 7 %, 1112 MiB, 23028 MiB, 84.34 W
2026/09/22 16:10:27.214, 0, NVIDIA L40G, 24 %, 1112 MiB, 23028 MiB, 91.06 W
2026/09/22 16:10:28.215, 0, NVIDIA L40G, 26 %, 1112 MiB, 23028 MiB, 95.19 W
2026/09/22 16:10:29.215, 0, NVIDIA L40G, 20 %, 1112 MiB, 23028 MiB, 95.20 W
2026/09/22 16:10:30.215, 0, NVIDIA L40G, 16 %, 1112 MiB, 23028 MiB, 95.45 W
2026/09/22 16:10:31.215, 0, NVIDIA L40G, 0 %, 1112 MiB, 23028 MiB, 85.11 W
2026/09/22 16:10:32.216, 0, NVIDIA L40G, 0 %, 1112 MiB, 23028 MiB, 83.53 W
2026/09/22 16:10:33.216, 0, NVIDIA L40G, 3 %, 1112 MiB, 23028 MiB, 83.50 W
2026/09/22 16:10:34.216, 0, NVIDIA L40G, 11 %, 1112 MiB, 23028 MiB, 88.76 W
2026/09/22 16:10:35.216, 0, NVIDIA L40G, 22 %, 1112 MiB, 23028 MiB, 94.25 W
2026/09/22 16:10:36.216, 0, NVIDIA L40G, 22 %, 1112 MiB, 23028 MiB, 95.90 W
2026/09/22 16:10:37.217, 0, NVIDIA L40G, 17 %, 1112 MiB, 23028 MiB, 94.99 W
2026/09/22 16:10:38.217, 0, NVIDIA L40G, 0 %, 1112 MiB, 23028 MiB, 88.28 W
2026/09/22 16:10:39.217, 0, NVIDIA L40G, 0 %, 1112 MiB, 23028 MiB, 83.85 W
2026/09/22 16:10:40.217, 0, NVIDIA L40G, 0 %, 1112 MiB, 23028 MiB, 83.32 W
2026/09/22 16:10:41.218, 0, NVIDIA L40G, 0 %, 1112 MiB, 23028 MiB, 83.37 W
2026/09/22 16:10:42.218, 0, NVIDIA L40G, 0 %, 1112 MiB, 23028 MiB, 83.25 W
2026/09/22 16:10:43.218, 0, NVIDIA L40G, 0 %, 1112 MiB, 23028 MiB, 83.13 W
2026/09/22 16:10:44.218, 0, NVIDIA L40G, 0 %, 1112 MiB, 23028 MiB, 83.37 W
2026/09/22 16:10:45.219, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 85.00 W
2026/09/22 16:10:46.219, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 84.07 W
2026/09/22 16:10:47.219, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 84.12 W
2026/09/22 16:10:48.219, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 41.20 W
2026/09/22 16:10:49.220, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 36.44 W
2026/09/22 16:10:50.220, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 35.71 W
2026/09/22 16:10:51.220, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 35.47 W
2026/09/22 16:10:52.220, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 35.52 W
2026/09/22 16:10:53.221, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 35.54 W
2026/09/22 16:10:54.221, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 35.55 W
2026/09/22 16:10:55.221, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 35.52 W
2026/09/22 16:10:56.221, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 35.52 W
2026/09/22 16:10:57.222, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 35.52 W
2026/09/22 16:10:58.222, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 35.52 W
2026/09/22 16:10:59.222, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 35.47 W
2026/09/22 16:11:00.223, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 35.46 W
2026/09/22 16:11:01.223, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 35.52 W
2026/09/22 16:11:02.223, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 35.52 W
2026/09/22 16:11:03.224, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 35.52 W
2026/09/22 16:11:04.224, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 35.52 W
2026/09/22 16:11:05.224, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 35.40 W
2026/09/22 16:11:06.224, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 35.35 W
2026/09/22 16:11:07.225, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 35.50 W
2026/09/22 16:11:08.225, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 35.49 W
2026/09/22 16:11:09.225, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 35.52 W
2026/09/22 16:11:10.226, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 35.47 W
2026/09/22 16:11:11.226, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 35.42 W
2026/09/22 16:11:12.226, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 35.42 W
2026/09/22 16:11:13.226, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 35.42 W
2026/09/22 16:11:14.227, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 35.45 W
2026/09/22 16:11:15.227, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 35.49 W
2026/09/22 16:11:16.227, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 35.52 W
2026/09/22 16:11:17.228, 0, NVIDIA L40G, 0 %, 14 MiB, 23028 MiB, 35.52 W
